id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6217,SPIM,large_airport,"Jorge Chávez International Airport",-12.0219,-77.114305,113,SA,Peru,PE,"Lima Region",PE-LIM,LIM,Lima,1,SPJC,LIM,,http://www.lap.com.pe/,https://en.wikipedia.org/wiki/Jorge_Ch%C3%A1vez_International_Airport,"SPIM, SPJC",1050,2021-05-03T09:18:25+00:00
6243,SPZO,large_airport,"Alejandro Velasco Astete International Airport",-13.535699844400002,-71.9387969971,10860,SA,Peru,PE,"Cuzco Region",PE-CUS,CUS,Cusco,1,SPZO,CUZ,,http://www.corpac.gob.pe/,https://en.wikipedia.org/wiki/Alejandro_Velasco_Astete_International_Airport,,1000,2010-09-07T09:49:15+00:00
6233,SPQU,medium_airport,"Rodríguez Ballón International Airport",-16.3411006927,-71.5830993652,8405,SA,Peru,PE,"Arequipa Region",PE-ARE,ARE,Arequipa,1,SPQU,AQP,,,https://en.wikipedia.org/wiki/Rodriguez_Ballon_International_Airport,,750,2010-09-07T09:47:49+00:00
6222,SPJL,medium_airport,"Inca Manco Capac International Airport",-15.467100143432617,-70.158203125,12552,SA,Peru,PE,"Puno Region",PE-PUN,PUN,Juliaca,1,SPJL,JUL,,,https://en.wikipedia.org/wiki/Inca_Manco_Capac_International_Airport,,750,2008-07-21T16:57:31+00:00
6242,SPZA,medium_airport,"Maria Reiche Neuman Airport",-14.854,-74.961502,1860,SA,Peru,PE,"Ica Region",PE-ICA,ICA,Nazca,1,SPZA,NZC,,https://www.aeronasca.com/como-llegar-al-aeropuerto-maria-reiche-en-nazca/,https://en.wikipedia.org/wiki/Maria_Reiche_Neuman_Airport,,750,2022-04-07T13:53:44+00:00
6232,SPQT,medium_airport,"Coronel FAP Francisco Secada Vignetta International Airport",-3.78474,-73.3088,306,SA,Peru,PE,"Loreto Region",PE-LOR,LOR,Iquitos,1,SPQT,IQT,,,https://en.wikipedia.org/wiki/Crnl._FAP_Francisco_Secada_Vignetta_International_Airport,,750,2022-08-29T12:46:38+00:00
6235,SPRU,medium_airport,"Capitan FAP Carlos Martinez De Pinillos International Airport",-8.08141040802002,-79.10880279541016,106,SA,Peru,PE,"La Libertad Region",PE-LAL,LAL,Trujillo,1,SPRU,TRU,,,https://en.wikipedia.org/wiki/Cap._FAP_Carlos_Mart%C3%ADnez_de_Pinillos_International_Airport,,750,2008-07-21T16:57:59+00:00
6213,SPHI,medium_airport,"Air Force Captain Jose A Quinones Gonzales International Airport",-6.78748,-79.828102,97,SA,Peru,PE,"Lambayeque Region",PE-LAM,LAM,Chiclayo,1,SPHI,CIX,,,https://en.wikipedia.org/wiki/Cap._FAP_Jos%C3%A9_A._Qui%C3%B1ones_Gonzales_International_Airport,,750,2022-09-07T13:58:51+00:00
6238,SPTN,medium_airport,"Coronel FAP Carlos Ciriani Santa Rosa International Airport",-18.053300857500002,-70.2758026123,1538,SA,Peru,PE,"Tacna Region",PE-TAC,TAC,Tacna,1,SPTN,TCQ,,,https://en.wikipedia.org/wiki/Crnl._FAP_Carlos_Ciriani_Santa_Rosa_International_Airport,,750,2010-09-06T17:28:59+00:00
6240,SPUR,medium_airport,"Capitán FAP Guillermo Concha Iberico International Airport",-5.20574998856,-80.61640167239999,120,SA,Peru,PE,"Piura Region",PE-PIU,PIU,Piura,1,SPUR,PIU,,,https://en.wikipedia.org/wiki/Cap._FAP_Guillermo_Concha_Iberico_International_Airport,,750,2010-09-06T17:28:00+00:00
6223,SPJR,medium_airport,"Mayor General FAP Armando Revoredo Iglesias Airport",-7.1391801834106445,-78.4894027709961,8781,SA,Peru,PE,"Cajamarca Region",PE-CAJ,CAJ,Cajamarca,1,SPJR,CJA,,,https://en.wikipedia.org/wiki/My._Gral._FAP._Armando_Revoredo_Iglesias_Airport,,750,2008-07-21T16:57:33+00:00
6205,SPCL,medium_airport,"Cap FAP David Abenzur Rengifo International Airport",-8.37794017791748,-74.57430267333984,513,SA,Peru,PE,"Ucayali Region",PE-UCA,UCA,Pucallpa,1,SPCL,PCL,,,https://en.wikipedia.org/wiki/Captain_Rolden_International_Airport,,750,2008-07-21T16:57:11+00:00
6239,SPTU,medium_airport,"Padre Aldamiz International Airport",-12.6135997772,-69.2285995483,659,SA,Peru,PE,"Madre de Dios Region",PE-MDD,MDD,"Puerto Maldonado",1,SPTU,PEM,,,https://en.wikipedia.org/wiki/Padre_Aldamiz_International_Airport,"Puerto Maldonado International Airport",750,2010-09-06T17:29:57+00:00
6237,SPST,medium_airport,"Cadete FAP Guillermo Del Castillo Paredes Airport",-6.508739948272705,-76.37319946289062,869,SA,Peru,PE,"San Martín Region",PE-SAM,SAM,Tarapoto,1,SPST,TPP,,,https://en.wikipedia.org/wiki/Cad._FAP_Guillermo_del_Castillo_Paredes_Airport,,750,2008-07-21T16:58:03+00:00
6241,SPYL,medium_airport,"Captain Victor Montes Arias International Airport",-4.57664,-81.254097,282,SA,Peru,PE,"Piura Region",PE-PIU,PIU,Talara,1,SPYL,TYL,,,https://en.wikipedia.org/wiki/Cap._FAP_Victor_Montes_Arias_Airport,"Capitan FAP Victor Montes Arias",750,2022-03-08T21:13:55+00:00
6226,SPME,medium_airport,"Captain Pedro Canga Rodríguez International Airport",-3.552074,-80.381086,115,SA,Peru,PE,"Tumbes Region",PE-TUM,TUM,Tumbes,1,SPME,TBP,,,https://en.wikipedia.org/wiki/Cap._FAP_Pedro_Canga_Rodr%C3%ADguez_Airport,"Capitan FAP Pedro Canga Rodriguez",750,2022-11-24T07:33:10+00:00
6216,SPHZ,medium_airport,"Comandante FAP German Arias Graziani Airport",-9.347439765930176,-77.59839630126953,9097,SA,Peru,PE,"Ancash Region",PE-ANC,ANC,Anta,0,SPHZ,ATA,,,https://en.wikipedia.org/wiki/Comandante_FAP_Germ%C3%A1n_Arias_Graziani_Airport,,250,2008-07-21T16:57:20+00:00
313312,spgl,small_airport,"Chagual Airport",-7.798106,-77.6495,3967,SA,Peru,PE,"La Libertad Region",PE-LAL,LAL,,0,SPGL,,,,,,50,2014-11-30T17:03:52+00:00
6214,SPHO,medium_airport,"Air Force Colonel Alfredo Mendivil Duarte Airport",-13.1548,-74.204399,8917,SA,Peru,PE,"Ayacucho Region",PE-AYA,AYA,Ayacucho,1,SPHO,AYP,,,https://en.wikipedia.org/wiki/Coronel_FAP_Alfredo_Mendivil_Duarte_Airport,"Coronel FAP Alfredo Mendivil Duarte",750,2022-09-07T12:11:57+00:00
6229,SPNC,medium_airport,"Alferez Fap David Figueroa Fernandini Airport",-9.878809928894043,-76.20480346679688,6070,SA,Peru,PE,"Huánuco Region",PE-HUC,HUC,Huánuco,1,SPNC,HUU,,,https://en.wikipedia.org/wiki/Alf%C3%A9rez_FAP_David_Figueroa_Fernandini_Airport,,750,2008-07-21T16:57:38+00:00
6224,SPLO,medium_airport,"General Jorge Fernandez Maldon Airport",-17.695,-71.344002,72,SA,Peru,PE,"Moquegua Region",PE-MOQ,MOQ,Ilo,1,SPLO,ILQ,,,https://en.wikipedia.org/wiki/Ilo_Airport,,500,2023-01-16T11:31:00+00:00
6219,SPJE,medium_airport,"Shumba Airport",-5.59248,-78.774002,2477,SA,Peru,PE,"Cajamarca Region",PE-CAJ,CAJ,Jaén,1,SPJE,JAE,,,https://en.wikipedia.org/wiki/Ja%C3%A9n_Airport,,500,2016-07-31T08:56:11+00:00
6202,SPAY,medium_airport,"Teniente General Gerardo Pérez Pinedo Airport",-10.7291,-73.766502,751,SA,Peru,PE,"Ucayali Region",PE-UCA,UCA,Atalaya,0,SPAY,AYX,,,https://en.wikipedia.org/wiki/Tnte._Gral._Gerardo_P%C3%A9rez_Pinedo_Airport,,250,2022-01-15T00:53:23+00:00
6201,SPAS,small_airport,"Alferez FAP Alfredo Vladimir Sara Bauer Airport",-2.79612994194,-76.46659851070001,728,SA,Peru,PE,"Loreto Region",PE-LOR,LOR,Andoas,0,SPAS,AOP,,,https://en.wikipedia.org/wiki/Alferez_FAP_Alfredo_Vladimir_Sara_Bauer_Airport,,50,2012-06-17T18:03:00+00:00
6225,SPLP,small_airport,"Las Palmas Air Base",-12.16069984436,-76.998901367188,250,SA,Peru,PE,"Lima Region",PE-LIM,LIM,Chorrillos,0,SPLP,,,,https://en.wikipedia.org/wiki/Las_Palmas_Air_Base,,50,2015-10-05T13:04:03+00:00
32378,SPVR,small_airport,"Vitor Airport",-16.429199,-71.837799,,SA,Peru,PE,"Arequipa Region",PE-ARE,ARE,"La Joya",0,SPVR,,,,,,50,2022-09-07T12:45:49+00:00
